"","x"
"277","Leptocottus armatus"
"278","Orthonopias triacis"
"279","Scorpaenichthys marmoratus"
"280","Careproctus melanurus"
"281","Liparis mucosus"
"282","Symphurus atricaudus"
"283","Remora remora"
"284","Elops affinis"
"285","Amphistichus rhodoterus"
"286","Embiotoca lateralis"
"287","Phanerodon atripes"
"288","Anchoa compressa"
"289","Anchoa delicatissima"
"290","Cheilopogon pinnatibarbatus"
"291","Fundulus parvipinnis"
"292","Ruvettus pretiosus"
"293","Gigantactis vanhoeffeni"
"294","Acanthogobius flavimanus"
"295","Ctenogobius sagittula"
"296","Lethops connectens"
"297","Quietula y-cauda"
"298","Typhlogobius californiensis"
"299","Cyclothone acclinidens"
"300","Cyclothone pseudopallida"
"301","Anisotremus davidsonii"
"302","Brachygenys californiensis"
"303","Oxylebius pictus"
"304","Idiacanthus antrostomus"
"305","Istiophorus platypterus"
"306","Tetrapturus angustirostris"
"307","Girella nigricans"
"308","Kyphosus azureus"
"309","Medialuna californiensis"
"310","Halichoeres californica"
"311","Bodianus pulcher"
"312","Alloclinus holderi"
"313","Lobotes pacificus"
"314","Lophiodes caulinaris"
"315","Lophiodes spilurus"
"316","Lophotus lacepede"
"317","Lutjanus argentiventris"
"318","Coryphaenoides filifer"
"319","Aristostomias scintillans"
"320","Halargyreus johnsonii"
"321","Pseudupeneus grandisquamis"
"322","Lampadena urophaos"
"323","Lampanyctus tenuiformis"
"324","Nannobrachium ritteri"
"325","Notolychnus valdiviae"
"326","Symbolophorus californiensis"
"327","Symbolophorus evermanni"
"328","Taaningichthys bathyphilus"
"329","Triphoturus mexicanus"
"330","Myliobatis californica"
"331","Eptatretus stoutii"
"332","Avocettina infans"
"333","Nemichthys scolopaceus"
"334","Facciolella gilbertii"
"335","Cubiceps baxteri"
"336","Psenes pellucidus"
"337","Scopelosaurus harryi"
"338","Myrophis vafer"
"339","Ophichthus zophochir"
"340","Lactoria diaphana"
"341","Lestidiops ringens"
"342","Macroparalepis johnfitchi"
"343","Magnisudis atlantica"
"344","Stemonosudis macrura"
"345","Citharichthys sordidus"
"346","Citharichthys stigmaeus"
"347","Citharichthys xanthostigma"
"348","Paralichthys californicus"
"349","Xystreurys liolepis"
"350","Pentaceros wheeleri"
"351","Pholis ornata"
"352","Sagamichthys abei"
"353","Clidoderma asperrimum"
"354","Embassichthys bathybius"
"355","Hippoglossoides elassodon"
"356","Pleuronichthys decurrens"
"357","Pleuronichthys ritteri"
"358","Pleuronichthys verticalis"
"359","Polydactylus approximans"
"360","Stereolepis gigas"
"361","Pomacanthus zonipectus"
"362","Azurina hirundo"
"363","Chromis alta"
"364","Chromis punctipinnis"
"365","Pristigenys serrula"
"366","Psychrolutes phrictus"
"367","Regalecus glesne"
"368","Rhamphocottus richardsonii"
"369","Cheilotrema saturnum"
"370","Cynoscion parvipinnis"
"371","Menticirrhus undulatus"
"372","Seriphus politus"
"373","Umbrina roncador"
"374","Allothunnus fallai"
"375","Scomberomorus sierra"
"376","Thunnus albacares"
"377","Scorpaena guttata"
"378","Scorpaenodes xyris"
"379","Hemanthias signifer"
"380","Mycteroperca xenarcha"
"381","Paralabrax auroguttatus"
"382","Paralabrax clathratus"
"383","Paralabrax maculatofasciatus"
"384","Sphyraena ensis"
"385","Sphyrna lewini"
"386","Argyropelecus sladeni"
"387","Esselenichthys carli"
"388","Kasatkia seigeli"
"389","Plectobranchus evides"
"390","Peprilus simillimus"
"391","Syngnathus californiensis"
"392","Synodus lacertinus"
"393","Synodus lucioceps"
"394","Tetragonurus cuvieri"
"395","Sphoeroides annulatus"
"396","Desmodema lorum"
"397","Assurger anzac"
"398","Prionotus stephanophrys"
"399","Zaprora silenus"
"400","Lycenchelys crotalinus"
"401","Lycodes cortezianus"
"402","Lycodes diapterus"
"403","Lycodes pacificus"
"404","Lyconema barbatum"
"405","Eucinostomus argenteus"
"406","Ruscarius creaseri"
"407","Diodon holocanthus"
"408","Nematistius pectoralis"
"409","Sarda chiliensis"
"410","Lutjanus novemfasciatus"
"411","Lythrypnus zebra"
"412","Chirolophis decoratus"
"413","Sebastolobus altivelis"
"414","Enophrys bison"
"415","Icelinus fimbriatus"
"416","Coryphaenoides yaquinae"
"417","Liparis florae"
"418","Odontopyxis trispinosa"
"419","Podothecus accipenserinus"
"420","Calamus brachysomus"
"421","Anoplarchus purpurescens"
"422","Gadus chalcogrammus"
"423","Phtheirichthys lineatus"
"424","Makaira nigricans"
"425","Xiphias gladius"
"426","Hexagrammos stelleri"
"427","Agonopsis sterletus"
"428","Apodichthys flavidus"
"429","Lepidopsetta bilineata"
"430","Sufflamen verres"
"431","Cephalopholis colonus"
"432","Echeneis naucrates"
"433","Remora australis"
"434","Remora brachyptera"
"435","Hemilepidotus hemilepidotus"
"436","Paraclinus integripinnis"
"437","Cyclothone pallida"
"438","Bajacalifornia burragei"
"439","Nezumia liolepis"
"440","Holtbyrnia latifrons"
"441","Lipolagus ochotensis"
"442","Poromitra crassiceps"
"443","Lycenchelys camchatica"
"444","Cataetyx rubrirostris"
"445","Lycodapus mandibularis"
"446","Alosa sapidissima"
"447","Anoplopoma fimbria"
"448","Hippoglossina stomata"
"449","Eptatretus deani"
"450","Antimora microlepis"
"451","Physiculus rastrelliger"
"452","Bothrocara brunneum"
"453","Alepocephalus tenebrosus"
"454","Anoplarchus insignis"
"455","Bathyagonus alascanus"
"456","Benthalbella dentata"
"457","Bertella idiomorpha"
"458","Blepsias cirrhosus"
"459","Borostomias panamensis"
"460","Ceratias holboelli"
"461","Chaenophryne longiceps"
"462","Chaenophryne melanorhabdus"
"463","Chirolophis nugator"
"464","Cottus asper"
"465","Cryptacanthodes giganteus"
"466","Gasterosteus aculeatus"
"467","Gonichthys tenuiculus"
"468","Hemilepidotus spinosus"
"469","Hexagrammos lagocephalus"
"470","Hippoglossus stenolepis"
"471","Hygophum atratum"
"472","Hygophum proximum"
"473","Hypomesus pretiosus"
"474","Icelinus tenuis"
"475","Lampanyctus parvicauda"
"476","Entosphenus tridentatus"
"477","Lepidogobius lepidus"
"478","Lepidopus fitchi"
"479","Liparis fucensis"
"480","Liparis pulchellus"
"481","Lophodolos acanthognathus"
"482","Lumpenus sagitta"
"483","Melanocetus johnsonii"
"484","Mirorictus taningi"
"485","Myctophum aurolaternatum"
"486","Myctophum lychnobium"
"487","Myctophum nitidulum"
"488","Nautichthys oculofasciatus"
"489","Oncorhynchus gorbuscha"
"490","Oncorhynchus keta"
"491","Oncorhynchus kisutch"
"492","Oneirodes thompsoni"
"493","Pholis clemensi"
"494","Pholis laeta"
"495","Poroclinus rothrocki"
"496","Reinhardtius hippoglossoides"
"497","Spirinchus starksi"
"498","Synchirus gilli"
"499","Trichodon trichodon"
"500","Phytichthys chirus"
"501","Xiphister atropurpureus"
"502","Anotopterus pharao"
"503","Aphanopus arigato"
"504","Argyropelecus aculeatus"
"505","Artedius harringtoni"
"506","Careproctus cypselurus"
"507","Caristius macropus"
"508","Cebidichthys violaceus"
"509","Clinocottus acuticeps"
"510","Clinocottus embryum"
"511","Clinocottus globiceps"
"512","Clinocottus recalvus"
"513","Dormitator latifrons"
"514","Elassodiscus caudatus"
"515","Eurypharynx pelecanoides"
"516","Gibbonsia montereyensis"
"517","Kali kerberti"
"518","Lipariscus nanus"
"519","Lycodapus fierasfer"
"520","Maulisia mauli"
"521","Oligocottus maculosus"
"522","Oligocottus snyderi"
"523","Oncorhynchus mykiss"
"524","Paraliparis pectoralis"
"525","Pleurogrammus monopterygius"
"526","Radulinus asprellus"
"527","Rhinoliparis barbulifer"
"528","Serrivomer jesperseni"
"529","Serrivomer sector"
"530","Talismania bifurcata"
"531","Kajikia audax"
"532","Zesticelus profundorum"
"533","Dermatolepis dermatolepis"
"534","Opisthonema medirastre"
"535","Parvilux ingens"
"536","Barbourisia rufa"
"537","Lampanyctus festivus"
"538","Vinciguerria poweriae"
"539","Bolinichthys longipes"
"540","Xanthichthys mento"
"541","Lagocephalus lagocephalus"
"542","Diodon hystrix"
"543","Cyclothone atraria"
"544","Sphoeroides lobatus"
"545","Ophichthus triserialis"
"546","Scorpaena mystes"
"547","Selene peruviana"
"548","Trachinotus rhodopus"
"549","Chloroscombrus orqueta"
"550","Microlepidotus inornatus"
"551","Apogon guadalupensis"
"552","Astroscopus zephyreus"
"553","Apogon pacificus"
"554","Diplectrum maximum"
"555","Fistularia corneta"
"556","Chanos chanos"
"557","Epinephelus analogus"
"558","Harengula thrissina"
"559","Melamphaes parvus"
"560","Fodiator acutus"
"561","Nannobrachium regale"
"562","Chaetodon humeralis"
"563","Eucinostomus currani"
"564","Cottus aleuticus"
"565","Lutjanus colorado"
"566","Bellator xenisma"
"567","Chilomycterus reticulatus"
"568","Diogenichthys laternatus"
"569","Seriola rivoliana"
"570","Hyporthodus acanthistius"
"571","Argyropelecus lychnus"
"572","Zalieutes elater"
"573","Decapterus muroadsi"
"574","Uraspis helvola"
"575","Naucrates ductor"
"576","Paralabrax nebulifer"
"577","Trachinotus paitensis"
"578","Pronotogrammus multifasciatus"
"579","Hemiramphus saltator"
"580","Isopsetta isolepis"
"581","Syngnathus auliscus"
"582","Ceratoscopelus townsendi"
"583","Coralliozetus springeri"
"584","Bathyagonus nigripinnis"
"585","Clupea pallasii"
"586","Tarletonbeania crenularis"
"587","Bathysphyraenops simplex"
"588","Acanthocybium solandri"
"589","Euthynnus lineatus"
"590","Gymnothorax mordax"
"591","Aulorhynchus flavidus"
"592","Micrometrus aurora"
"593","Mola tecta"
"594","Mola alexandrini"
"595","Masturus lanceolatus"
"596","Lythrypnus dalli"
"597","Embiotoca caryi"
"598","Acipenser medirostris"
"599","Centroscyllium nigrum"
"600","Kyphosus vaigiensis"
"601","Bathylagus pacificus"
"602","Sebastes nigrocinctus"
"603","Sebastes auriculatus"
"604","Tridentiger bifasciatus"
"605","Oplegnathus fasciatus"
"606","Cetorhinus maximus"
"607","Oncorhynchus tshawytscha"
"608","Istiompax indica"
"609","Anoplagonus inermis"
"610","Tridentiger trigonocephalus"
"611","Rhinogobius brunneus"
"612","Ammodytes personatus"
"613","Alepisaurus ferox"
"614","Tridentiger barbatus"
"615","Coptodon zillii"
"616","Lamprogrammus niger"
"617","Hyocritichthys analis"
"618","Oreochromis mossambicus"
"619","Spirinchus thaleichthys"
"620","Hygophum reinhardtii"
"621","Coryphaena hippurus"
"622","Gambusia affinis"
"623","Cryptopsaras couesii"
"624","Clevelandia ios"
"625","Alopias vulpinus"
"626","Gempylus serpens"
"627","Oncorhynchus nerka"
"628","Ascelichthys rhodorus"
"629","Pallasina barbata"
"630","Carcharhinus brachyurus"
"631","Balistes polylepis"
"632","Sebastes maliger"
"633","Euleptorhamphus viridis"
"634","Brama japonica"
"635","Kyphosus analogus"
"636","Benthodesmus pacificus"
"637","Notacanthus chemnitzii"
"638","Xeneretmus latifrons"
"639","Melanolagus bericoides"
"640","Thunnus orientalis"
"641","Atheresthes evermanni"
"642","Carcharhinus leucas"
"643","Sebastes caurinus"
"644","Artedius fenestralis"
"645","Harriotta raleighana"
"646","Argyropelecus affinis"
"647","Agonopsis vulsa"
"648","Oncorhynchus clarkii"
"649","Rhynchohyalus natalensis"
"650","Selar crumenophthalmus"
"651","Bathylychnops exilis"
"652","Bathyagonus infraspinatus"
"653","Sebastes nebulosus"
"654","Chlamydoselachus anguineus"
"655","Euthynnus affinis"
"656","Etrumeus teres"
"657","Hypomesus nipponensis"
"658","Fistularia commersonii"
"659","Porichthys myriaster"
"660","Sebastes aleutianus"
"661","Echinorhinus cookei"
"662","Acanthurus xanthopterus"
"663","Sebastes alutus"
"664","Carcharhinus obscurus"
"665","Hemitripterus bolini"
"666","Mitsukurina owstoni"
"667","Ptilichthys goodei"
"668","Macroramphosus scolopax"
"669","Sebastes rubrivinctus"
"670","Artedius lateralis"
"671","Isurus paucus"
"672","Coryphaenoides leptolepis"
"673","Howella brodiei"
"674","Sebastes paucispinis"
"675","Coryphaenoides cinereus"
"676","Eucyclogobius newberryi"
"677","Sebastes mystinus"
"678","Ophioblennius steindachneri"
"679","Sebastes crameri"
"680","Rhinoliparis attenuatus"
"681","Lampetra ayresii"
"682","Mobula birostris"
"683","Allosmerus elongatus"
"684","Diodon eydouxii"
"685","Sphyrna tiburo"
"686","Odontaspis ferox"
"687","Lutjanus guttatus"
"688","Regalecus russelii"
"689","Cheilopogon heterurus"
"690","Paraliparis cephalus"
"691","Lycodes brevipes"
"692","Chilara taylori"
"693","Sebastes entomelas"
"694","Poecilia latipinna"
"695","Taractichthys steindachneri"
"696","Careproctus colletti"
"697","Ronquilus jordani"
"698","Sebastes variabilis"
"699","Apodichthys fucorum"
"700","Bagre panamensis"
"701","Jordania zonope"
"702","Isistius brasiliensis"
"703","Eutaeniophorus festivus"
"704","Stenobrachius nannochir"
"705","Saccopharynx lavenbergi"
"706","Taaningichthys minimus"
