Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_12S_Oct2019_11	11	5	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091575.1;LC091576.1;NC_041097.1;LC499587.1;AP017957.1;LC468861.1;AF417342.1;LC385201.1;LC468860.1;AB040676.1;KF765500.2;LC020920.1;LC340033.1;AP009137.1;AP011557.1
forward_12S_Oct2019_12	1	6	8	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_13	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;AP011062.1;LC037028.1;KC136427.1;KC136512.1;KC136545.1;KC136380.1;KC136488.1;LC037027.1;KC136508.1;KC136450.1;KC136463.1;LC458161.1;KC136480.1;KC136503.1;KC136368.1;KC136365.1;KC136394.1;KC136504.1;KC136527.1;KC136406.1;KC136378.1;KC136542.1;KC136386.1;KC136413.1;KC136398.1;KC136573.1;KC136550.1;KC136474.1;KC136456.1;LC037025.1;KC136428.1;KC136570.1;KC136422.1;KC136402.1;KC136505.1;KC136519.1;KC136375.1;KC136451.1;KC136404.1;KC136543.1;KC136499.1;KC136478.1;KC136516.1;KC136544.1;KC136362.1;KC136529.1;KC136464.1;KC136489.1;KC136492.1;KC136373.1;KC136363.1;KC136538.1;KC136514.1;KC136535.1;KC136383.1;KC136438.1;KC136415.1;KC136526.1;KC136414.1;KC136468.1;KC136549.1;KC136509.1;KC136524.1;KC136564.1;KC136433.1;KC136565.1;KC136541.1;KC136448.1;KC136578.1;KC136481.1;KC136400.1;KC136497.1;KC136559.1;KC136416.1;KC136437.1;KC136417.1;KC136479.1;KC136447.1;KC136491.1;AP011061.1;KC136502.1;KC136399.1;KC136511.1;KC136506.1;KC136487.1;KC136436.1;KC136523.1;KC136442.1;KC136393.1;KC136569.1;KC136556.1;KC136484.1;KC136574.1;KC136532.1;KC136558.1;KC136521.1;KC136412.1;KC136379.1;KC136423.1
forward_12S_Oct2019_14	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;AP011062.1;LC037028.1;LC458161.1;KC136496.1;KC136368.1;KC136406.1;KC136365.1;KC136378.1;KC136525.1;KC136470.1;KC136386.1;KC136488.1;KC136444.1;KC136450.1;KC136504.1;KC136520.1;KC136463.1;KC136493.1;KC136542.1;KC136539.1;KC136516.1;KC136573.1;KC136456.1;KC136499.1;KC136478.1;KC136452.1;KC136362.1;LC037025.1;KC136505.1;KC136418.1;KC136422.1;KC136544.1;KC136428.1;KC136519.1;KC136377.1;KC136540.1;KC136375.1;KC136568.1;KC136529.1;KC136464.1;KC136414.1;KC136373.1;KC136578.1;KC136381.1;KC136453.1;KC136433.1;KC136549.1;KC136426.1;KC136393.1;KC136447.1;KC136461.1;KC136487.1;KC136405.1;KC136511.1;KC136383.1;KC136559.1;KC136366.1;KC136569.1;KC136506.1;KC136479.1;KC136535.1;AB972197.1;KC136437.1;KC136372.1;KC136376.1;KC136415.1;KC136417.1;KC136565.1;KC136411.1;KC136533.1;KC136448.1;KC136446.1;KC136489.1;KC136502.1;KC136564.1;KC136387.1;KC136538.1;KC136497.1;KC136557.1;KC136454.1;KC136492.1;LC037024.1;KC136438.1;KC136524.1;KC136399.1;KC136526.1;AP011061.1;KC136374.1;KC136574.1;KC136430.1;KC136439.1;KC136412.1;KC136484.1;EF616895.1;KC136423.1;KC136460.1;KC136521.1;KC136558.1;KC136556.1
forward_12S_Oct2019_15	2	11	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_16	2	1	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Embiotocidae;genus:Rhacochilus;species:Rhacochilus vacca;	superkingdom:100.0;phylum:100.0;class:100.0;order:28.4583333333;family:100.0;genus:85.375;species:85.375;	LC091972.1;LC091971.1;AY279572.1;LC091975.1;LC091976.1;AF285918.1;AY279573.1;KU530212.1;LC091977.1;LC091978.1;AP009128.1;FJ616394.1;LC104608.1;LC091973.1;LC091974.1;AP009129.1;AB969917.1;JN125222.1;JN125224.1;AY279571.1;JN125227.1;JN125223.1;JN125226.1;AB969916.1;JN125225.1
forward_12S_Oct2019_17	0	11	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:78.6428571429;	KC136553.1;KC136546.1;KC136577.1;KC136536.1;KC136395.1;AB236129.1;AB214535.1;AB236130.1;KC136370.1;LC021271.1;AB236128.1;AB233478.1;LC037030.1;LC492400.1;LC278153.1;AB208649.1;LC385204.1;AB233477.1;LC278022.1;AB233476.1;LC278154.1;LC037029.1;KC136555.1;AB233475.1;AB233489.1;AB233488.1;AP011060.1;AB233482.1;LC421696.1;AB208648.1;AB233483.1;KC136477.1;AB233484.1;AB233485.1;AB972232.1;AB233479.1;LC458160.1;AB233487.1;AB233491.1;LC492401.1;AB233481.1;AB233486.1;AB233490.1;AB233480.1
forward_12S_Oct2019_18	3	1	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	EU601226.1;AY279644.1;LC499589.1;AB974611.1;KY815247.1;AJ810129.1;AY279588.1;LC340201.1
forward_12S_Oct2019_19	0	6	5	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:77.9166666667;	KC136553.1;KC136546.1;KC136577.1;KC136536.1;KC136395.1;AB236128.1;LC021271.1;AB214535.1;AB236130.1;AB236129.1;KC136370.1;LC278022.1;AB233477.1;LC278154.1;KC136555.1;LC492400.1;LC037029.1;LC385204.1;LC278153.1;AB233478.1;AB208649.1;AB233476.1;AB233475.1;LC037030.1;AB233489.1;AB233482.1;AB233484.1;AB233481.1;AB233485.1;KC136477.1;LC492401.1;LC421696.1;AB233488.1;LC458160.1;AB233483.1;AB233479.1;AB233491.1;AB208648.1;AB233487.1;AP011060.1;AB972232.1;AB233486.1;AB233480.1;AB233490.1
forward_12S_Oct2019_20	2	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Oplegnathidae;genus:Oplegnathus;species:Oplegnathus woodwardi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136482.1
forward_12S_Oct2019_21	2	4	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	EU601226.1;AY279644.1;LC499589.1;AB974611.1;KY815247.1;AY279588.1;AJ810129.1
forward_12S_Oct2019_22	0	0	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Gobiesocidae;genus:Gobiesox;species:Gobiesox maeandricus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC092038.1;LC092039.1;LC092040.1
forward_12S_Oct2019_23	6	2	1	not_found		
forward_12S_Oct2019_24	8	0	0	Unclassified		
forward_12S_Oct2019_25	5	2	1	not_found		
forward_12S_Oct2019_26	5	1	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_27	7	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:96.0;species:96.0;	AY279632.1;KY815300.1;KY815304.1;LC104651.1;KY421797.1;AJ810137.1;LC146271.1;AY279611.1;AJ810136.1;AB972165.1;AB974580.1;LC499368.1;AY279589.1;KY815292.1;AY279628.1;LC021281.1;AY279590.1;AY279635.1
forward_12S_Oct2019_28	5	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_29	5	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Synbranchiformes;family:Mastacembelidae;genus:Macrognathus;species:Macrognathus siamensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:22.0;family:22.0;genus:22.0;species:22.0;	LC499174.1;LC340131.1;LC385113.1;LC440056.1;KF815977.1;LC049624.1;LC146342.1;KX686074.1;KJ907732.1;KF746198.1;JF972568.1;JN378751.1;KJ644781.1;KJ960194.1;AP006023.1;AB969933.1;JQ085861.1;KF672362.1;KC567664.1;LC021300.1;LC049627.1;LC049622.1;KT224485.1;AB972095.1;LC049628.1;KU194688.1;KC422441.1;KU194686.1;LC037145.1;KU194689.1;KJ644783.1;KU194687.1;KM024309.1;LC145915.1;AB861523.1;LC340191.1;KP033452.1;MF004314.1;MK530652.1;LC036874.1;FJ374786.1;LC036750.1;EF616899.1;LC069560.1;KP218262.1;EF218626.1;LC492366.1;LC091958.1;KJ473717.1;LC036821.1;KU933270.1;LC492364.1;KR701906.1;LC385117.1;LC421712.1;AB972155.1;LC492405.1;LC458261.1;MH248197.1;LC492404.1;LC500743.1;LC500742.1;AY279660.1;AP009130.1;AP006777.1
forward_12S_Oct2019_30	4	2	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC091575.1;LC091576.1;NC_041097.1;LC468860.1;LC499587.1;AP017957.1;LC385201.1;KF765500.2;LC020920.1;LC468861.1;AB040676.1;AF417342.1;LC340033.1;AP009137.1;AP011557.1
forward_12S_Oct2019_31	2	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.0;species:99.0;	AY279632.1;KY815300.1;LC104651.1;LC146271.1;AY279611.1;AJ810137.1;KY421797.1;KY815304.1;AJ810136.1;AB974580.1;LC499368.1;AY279589.1;AB972165.1;AY279628.1;KY815292.1;LC021281.1;AY279590.1;AY279635.1
forward_12S_Oct2019_32	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:77.6666666667;	KC136553.1;KC136546.1;KC136577.1;KC136395.1;KC136536.1;LC021271.1;AB214535.1;AB236128.1;AB236129.1;AB236130.1;KC136370.1;LC278154.1;LC278022.1;LC278153.1;AB208649.1;LC037029.1;AB233476.1;LC385204.1;KC136555.1;AB233477.1;AB233475.1;LC492400.1;LC037030.1;AB233478.1;LC492401.1;LC458160.1;LC421696.1;AB208648.1;AB233484.1;AB233489.1;AB233485.1;AB233481.1;AB233491.1;AB233479.1;AB233487.1;AP011060.1;AB972232.1;AB233482.1;KC136477.1;AB233488.1;AB233483.1;AB233486.1;AB233480.1;AB233490.1
forward_12S_Oct2019_33	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Atheriniformes;family:Atherinopsidae;genus:Leuresthes;species:Leuresthes tenuis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:76.8523809524;species:76.8523809524;	MN181432.1;NC_044649.1;GQ352654.1;KF791036.1;GQ352655.1;GQ352656.1;GQ352652.1;GQ352653.1;AB370894.1;GQ352659.1;GQ352658.1;GQ352657.1
forward_12S_Oct2019_34	0	0	6	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Seriola;species:Seriola lalandi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:86.7896825397;species:55.7812409812;	LC499588.1;MH211123.1;MK158068.1;AB517557.1;LC421689.1;AB517558.1;AB969928.1;AB938138.1;AB517559.2;KP733847.1;AB972178.1;KP347126.1;KT591876.1;LC036999.1;MK158067.1;AB517556.1;AB972179.1;LC492390.1;LC492389.1;LC104479.1;MH248250.1;LC178307.1;LC178309.1;LC178325.1;LC178312.1;LC178329.1;LC178318.1;LC178306.1;LC178310.1;LC178320.1;LC178313.1;LC178308.1;LC178326.1;LC178317.1;LC178327.1;LC178311.1;LC178322.1;LC178314.1;LC178324.1;LC178319.1;LC178328.1;LC178330.1;LC178321.1;LC178323.1;LC178315.1;LC178316.1;LC178302.1;LC178230.1;LC178286.1;LC178282.1;LC178254.1;LC178280.1;LC178263.1;LC178273.1;LC178240.1;LC178271.1;LC178243.1;LC178290.1;LC178285.1;LC178292.1;LC178266.1;LC178228.1;LC178274.1;LC178226.1;LC178289.1;LC178224.1;LC178239.1;LC178270.1;LC178281.1;LC178261.1;LC178235.1;LC178258.1;LC178284.1;LC178276.1;LC178227.1;LC178291.1;LC178300.1;LC178299.1;LC178278.1;LC178236.1;LC178259.1;LC178264.1;LC178279.1;LC178268.1;LC178298.1;LC178246.1;LC178249.1;LC178305.1;LC178229.1;LC178241.1;LC178244.1;LC178238.1;LC178272.1;LC178283.1;LC178242.1;LC178288.1;LC178247.1;LC178234.1;LC104618.1;FJ616313.1
forward_12S_Oct2019_35	4	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena helleri;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	LC037056.1
forward_12S_Oct2019_36	3	0	2	not_found		
forward_12S_Oct2019_37	0	1	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Clupeidae;genus:Sardinops;species:Sardinops sagax;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:98.0;species:98.0;	AB032554.1;LC500738.1;LC385054.1;LC069399.1;LC069396.1;LC069397.1;LC020933.1;LC091585.1;LC069398.1;LC091577.1;MG570462.1;MG570463.1;NC_037017.1;NC_037016.1;AP009131.1;MH377780.1;MG570422.1;LC091584.1;MH377781.1;MG570434.1;KY769128.1;MG570439.1;MG570440.1;LC091583.1;AP009132.1;MG570421.1;HQ331537.1;LC105840.1;KP013088.1;LC105739.1;LC105879.1;LC105842.1;LC105930.1;LC105932.1;LC105900.1;LC105753.1;LC105980.1;LC105760.1;LC105847.1;LC105821.1;LC105827.1;LC105837.1;LC105771.1;LC105942.1;LC105711.1;LC105852.1;LC105877.1;LC105970.1;LC105976.1;LC105905.1;LC105868.1;LC105949.1;LC105784.1;LC105891.1;LC105807.1;LC105927.1;LC105919.1;LC105979.1;LC105745.1;LC105975.1;LC105772.1;LC105755.1;LC105775.1;LC105705.1;LC105878.1;LC105824.1;LC105809.1;LC105800.1;LC105704.1;LC105835.1;LC105904.1;LC105915.1;LC105974.1;LC105727.1;LC105853.1;LC105796.1;LC105717.1;LC105860.1;LC105977.1;LC105829.1;LC105826.1;LC105750.1;LC105899.1;LC105707.1;LC105808.1;LC105881.1;LC105972.1;LC105943.1;LC105749.1;LC105936.1;LC105969.1;LC105857.1;LC105748.1;LC105751.1;LC105848.1;LC105871.1;LC105803.1;LC105884.1;LC105985.1;LC105869.1
forward_12S_Oct2019_38	4	0	0	not_found		
forward_12S_Oct2019_39	4	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella simplicidens;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:64.5251294457;	KC136553.1;KC136546.1;KC136577.1;KC136395.1;AB236128.1;AB236129.1;AB236130.1;KC136536.1;AB214535.1;LC021271.1;KC136370.1;AB233475.1;LC037030.1;LC278022.1;LC278153.1;LC492400.1;AB208649.1;AB233478.1;LC278154.1;LC037029.1;KC136555.1;LC385204.1;AB233476.1;AB233477.1;LC458160.1;AB233479.1;AB233491.1;AB233488.1;LC492401.1;AB233485.1;AB233484.1;LC421696.1;AP011060.1;AB208648.1;AB233487.1;KC136477.1;AB233489.1;AB233483.1;AB233481.1;AB972232.1;AB233482.1;AB233490.1;AB233480.1;AB233486.1
forward_12S_Oct2019_40	4	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:NA;family:Pomacentridae;genus:Hypsypops;species:Hypsypops rubicundus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FJ616348.1;FJ616291.1;FJ616297.1;FJ616360.1;HE961975.1
