fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	sum taxonomy
forward_c19_fishcard_22	0	0	10	Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon
forward_c19_fishcard_23	6	2	1	
forward_c19_fishcard_24	8	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_25	5	2	1	
forward_c19_fishcard_26	5	1	2	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_27	7	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_28	5	1	1	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_29	5	0	1	Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps
forward_c19_fishcard_30	4	2	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_31	2	2	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_32	0	2	4	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_33	0	2	4	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;
forward_c19_fishcard_34	0	0	6	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;
forward_c19_fishcard_35	4	1	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_36	3	0	2	
forward_c19_fishcard_37	0	1	4	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_38	4	0	0	
forward_c19_fishcard_39	4	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_40	4	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_41	3	0	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_42	3	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_43	3	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_44	2	1	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_45	1	2	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_46	0	4	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_c19_fishcard_47	0	4	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_48	0	0	4	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_49	0	0	4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus
forward_c19_fishcard_50	0	0	4	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
forward_c19_fishcard_51	0	0	4	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_52	0	0	4	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri
forward_c19_fishcard_53	3	0	0	
forward_c19_fishcard_54	3	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_55	2	0	1	
forward_c19_fishcard_56	2	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_57	2	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_58	1	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_59	1	0	2	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_60	1	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_61	1	0	2	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
forward_c19_fishcard_62	1	0	2	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_63	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_64	0	3	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_65	0	3	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_66	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_67	0	2	1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_68	0	0	3	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_69	0	0	3	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_70	2	0	0	
forward_c19_fishcard_71	2	0	0	
forward_c19_fishcard_72	2	0	0	
forward_c19_fishcard_73	2	0	0	
forward_c19_fishcard_74	2	0	0	
forward_c19_fishcard_75	2	0	0	
forward_c19_fishcard_76	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_77	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_78	2	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_79	2	0	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_80	2	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_81	2	0	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Chaenopsidae;Chaenopsis;Chaenopsis alepidota
forward_c19_fishcard_82	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_83	2	0	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_84	2	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_85	2	0	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_c19_fishcard_86	2	0	0	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax
forward_c19_fishcard_87	1	0	1	
forward_c19_fishcard_88	1	1	0	
forward_c19_fishcard_89	1	1	0	
forward_c19_fishcard_90	1	1	0	
forward_c19_fishcard_91	1	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_92	1	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_c19_fishcard_93	1	1	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_94	1	1	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_95	1	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_96	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_97	1	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_98	1	0	1	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_c19_fishcard_99	0	2	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_100	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_101	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_102	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_103	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;
forward_c19_fishcard_104	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_105	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_106	0	2	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_107	0	2	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_c19_fishcard_108	0	2	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_c19_fishcard_109	0	2	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_110	0	2	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus
forward_c19_fishcard_111	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_c19_fishcard_112	0	1	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_c19_fishcard_113	0	1	1	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;
forward_c19_fishcard_114	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_115	0	0	2	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_c19_fishcard_116	0	0	2	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_c19_fishcard_117	0	0	2	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
forward_c19_fishcard_118	0	0	2	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;
forward_c19_fishcard_119	0	0	2	Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;
forward_c19_fishcard_120	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_121	0	0	2	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_c19_fishcard_122	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_123	0	0	2	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_c19_fishcard_124	1	0	0	
forward_c19_fishcard_125	1	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_c19_fishcard_126	1	0	0	
forward_c19_fishcard_127	1	0	0	
forward_c19_fishcard_128	1	0	0	
forward_c19_fishcard_129	1	0	0	
forward_c19_fishcard_130	1	0	0	
forward_c19_fishcard_131	1	0	0	
forward_c19_fishcard_132	1	0	0	
forward_c19_fishcard_133	1	0	0	
forward_c19_fishcard_134	1	0	0	
forward_c19_fishcard_135	1	0	0	
forward_c19_fishcard_136	1	0	0	
forward_c19_fishcard_137	1	0	0	
forward_c19_fishcard_138	1	0	0	
forward_c19_fishcard_139	1	0	0	
forward_c19_fishcard_140	1	0	0	
forward_c19_fishcard_141	1	0	0	
forward_c19_fishcard_142	1	0	0	
forward_c19_fishcard_143	1	0	0	
forward_c19_fishcard_144	1	0	0	
forward_c19_fishcard_145	1	0	0	
forward_c19_fishcard_146	1	0	0	
forward_c19_fishcard_147	1	0	0	
forward_c19_fishcard_148	1	0	0	
forward_c19_fishcard_149	1	0	0	
forward_c19_fishcard_150	1	0	0	
forward_c19_fishcard_151	1	0	0	
forward_c19_fishcard_152	1	0	0	
forward_c19_fishcard_153	1	0	0	
forward_c19_fishcard_154	1	0	0	
forward_c19_fishcard_155	1	0	0	
forward_c19_fishcard_156	1	0	0	
forward_c19_fishcard_157	1	0	0	
forward_c19_fishcard_158	1	0	0	
forward_c19_fishcard_159	1	0	0	
forward_c19_fishcard_160	1	0	0	
forward_c19_fishcard_161	1	0	0	
forward_c19_fishcard_162	1	0	0	
forward_c19_fishcard_163	1	0	0	
forward_c19_fishcard_164	1	0	0	
forward_c19_fishcard_165	1	0	0	
forward_c19_fishcard_166	1	0	0	
forward_c19_fishcard_167	1	0	0	
forward_c19_fishcard_168	1	0	0	
forward_c19_fishcard_169	1	0	0	
forward_c19_fishcard_170	1	0	0	
forward_c19_fishcard_171	1	0	0	
forward_c19_fishcard_172	1	0	0	
forward_c19_fishcard_173	1	0	0	
forward_c19_fishcard_174	1	0	0	
forward_c19_fishcard_175	1	0	0	
forward_c19_fishcard_176	1	0	0	
forward_c19_fishcard_177	1	0	0	
forward_c19_fishcard_178	1	0	0	
forward_c19_fishcard_179	1	0	0	
forward_c19_fishcard_180	1	0	0	
forward_c19_fishcard_181	1	0	0	
forward_c19_fishcard_182	1	0	0	
forward_c19_fishcard_183	1	0	0	
forward_c19_fishcard_184	1	0	0	
forward_c19_fishcard_185	1	0	0	
forward_c19_fishcard_186	1	0	0	
forward_c19_fishcard_187	1	0	0	
forward_c19_fishcard_188	1	0	0	
forward_c19_fishcard_189	1	0	0	
forward_c19_fishcard_190	1	0	0	
forward_c19_fishcard_191	1	0	0	
forward_c19_fishcard_192	1	0	0	
forward_c19_fishcard_193	1	0	0	
forward_c19_fishcard_194	1	0	0	
forward_c19_fishcard_195	1	0	0	
forward_c19_fishcard_196	1	0	0	
forward_c19_fishcard_197	1	0	0	
forward_c19_fishcard_198	1	0	0	
forward_c19_fishcard_199	1	0	0	
forward_c19_fishcard_200	1	0	0	
forward_c19_fishcard_201	1	0	0	
forward_c19_fishcard_202	1	0	0	
forward_c19_fishcard_203	1	0	0	
forward_c19_fishcard_204	1	0	0	
forward_c19_fishcard_205	1	0	0	
forward_c19_fishcard_206	1	0	0	
forward_c19_fishcard_207	1	0	0	
forward_c19_fishcard_208	1	0	0	
forward_c19_fishcard_209	1	0	0	
forward_c19_fishcard_210	1	0	0	
forward_c19_fishcard_211	1	0	0	
forward_c19_fishcard_212	1	0	0	
forward_c19_fishcard_213	1	0	0	
forward_c19_fishcard_214	1	0	0	
forward_c19_fishcard_215	1	0	0	
forward_c19_fishcard_216	1	0	0	
forward_c19_fishcard_217	1	0	0	
forward_c19_fishcard_218	1	0	0	
forward_c19_fishcard_219	1	0	0	
forward_c19_fishcard_220	1	0	0	
forward_c19_fishcard_221	1	0	0	
forward_c19_fishcard_222	1	0	0	
forward_c19_fishcard_223	1	0	0	
forward_c19_fishcard_224	1	0	0	
forward_c19_fishcard_225	1	0	0	
forward_c19_fishcard_226	1	0	0	
forward_c19_fishcard_227	1	0	0	
forward_c19_fishcard_228	1	0	0	
forward_c19_fishcard_229	1	0	0	
forward_c19_fishcard_230	1	0	0	
forward_c19_fishcard_231	1	0	0	
forward_c19_fishcard_232	1	0	0	
forward_c19_fishcard_233	1	0	0	
forward_c19_fishcard_234	1	0	0	
forward_c19_fishcard_235	1	0	0	
forward_c19_fishcard_236	1	0	0	
forward_c19_fishcard_237	1	0	0	
forward_c19_fishcard_238	1	0	0	
forward_c19_fishcard_239	1	0	0	
forward_c19_fishcard_240	1	0	0	
forward_c19_fishcard_241	1	0	0	
forward_c19_fishcard_242	1	0	0	
forward_c19_fishcard_243	1	0	0	
forward_c19_fishcard_244	1	0	0	
forward_c19_fishcard_245	1	0	0	
forward_c19_fishcard_246	1	0	0	
forward_c19_fishcard_247	1	0	0	
forward_c19_fishcard_248	1	0	0	
forward_c19_fishcard_249	1	0	0	
forward_c19_fishcard_250	1	0	0	
forward_c19_fishcard_251	1	0	0	
forward_c19_fishcard_252	1	0	0	
forward_c19_fishcard_253	1	0	0	
forward_c19_fishcard_254	1	0	0	
forward_c19_fishcard_255	1	0	0	
forward_c19_fishcard_256	1	0	0	
forward_c19_fishcard_257	1	0	0	
forward_c19_fishcard_258	1	0	0	
forward_c19_fishcard_259	1	0	0	
forward_c19_fishcard_260	1	0	0	
forward_c19_fishcard_261	1	0	0	
forward_c19_fishcard_262	1	0	0	
forward_c19_fishcard_263	1	0	0	
forward_c19_fishcard_264	1	0	0	
forward_c19_fishcard_265	1	0	0	
forward_c19_fishcard_266	1	0	0	
forward_c19_fishcard_267	1	0	0	
forward_c19_fishcard_268	1	0	0	
forward_c19_fishcard_269	1	0	0	
forward_c19_fishcard_270	1	0	0	
forward_c19_fishcard_271	1	0	0	
forward_c19_fishcard_272	1	0	0	
forward_c19_fishcard_273	1	0	0	
forward_c19_fishcard_274	1	0	0	
forward_c19_fishcard_275	1	0	0	
forward_c19_fishcard_276	1	0	0	
forward_c19_fishcard_277	1	0	0	
forward_c19_fishcard_278	1	0	0	
forward_c19_fishcard_279	1	0	0	
forward_c19_fishcard_280	1	0	0	
forward_c19_fishcard_281	1	0	0	
forward_c19_fishcard_282	1	0	0	
forward_c19_fishcard_283	1	0	0	
forward_c19_fishcard_284	1	0	0	
forward_c19_fishcard_285	1	0	0	
forward_c19_fishcard_286	1	0	0	
forward_c19_fishcard_287	1	0	0	
forward_c19_fishcard_288	1	0	0	
forward_c19_fishcard_289	1	0	0	
forward_c19_fishcard_290	1	0	0	
forward_c19_fishcard_291	1	0	0	
forward_c19_fishcard_292	1	0	0	
forward_c19_fishcard_293	1	0	0	
forward_c19_fishcard_294	1	0	0	
forward_c19_fishcard_295	1	0	0	
forward_c19_fishcard_296	1	0	0	
forward_c19_fishcard_297	1	0	0	
forward_c19_fishcard_298	1	0	0	
forward_c19_fishcard_299	1	0	0	
forward_c19_fishcard_300	1	0	0	
forward_c19_fishcard_301	1	0	0	
forward_c19_fishcard_302	1	0	0	
forward_c19_fishcard_303	1	0	0	
forward_c19_fishcard_304	1	0	0	
forward_c19_fishcard_305	1	0	0	
forward_c19_fishcard_306	1	0	0	
forward_c19_fishcard_307	1	0	0	
forward_c19_fishcard_308	1	0	0	
forward_c19_fishcard_309	1	0	0	
forward_c19_fishcard_310	1	0	0	
forward_c19_fishcard_311	1	0	0	
forward_c19_fishcard_312	1	0	0	
forward_c19_fishcard_313	1	0	0	
forward_c19_fishcard_314	1	0	0	
forward_c19_fishcard_315	1	0	0	
forward_c19_fishcard_316	1	0	0	
forward_c19_fishcard_317	1	0	0	
forward_c19_fishcard_318	1	0	0	
forward_c19_fishcard_319	1	0	0	
forward_c19_fishcard_320	1	0	0	
forward_c19_fishcard_321	1	0	0	
forward_c19_fishcard_322	1	0	0	
forward_c19_fishcard_323	1	0	0	
forward_c19_fishcard_324	1	0	0	
forward_c19_fishcard_325	1	0	0	
forward_c19_fishcard_326	1	0	0	
forward_c19_fishcard_327	1	0	0	
forward_c19_fishcard_328	1	0	0	
forward_c19_fishcard_329	1	0	0	
forward_c19_fishcard_330	1	0	0	
forward_c19_fishcard_331	1	0	0	
forward_c19_fishcard_332	1	0	0	
forward_c19_fishcard_333	1	0	0	
forward_c19_fishcard_334	1	0	0	
forward_c19_fishcard_335	1	0	0	
forward_c19_fishcard_336	1	0	0	
forward_c19_fishcard_337	1	0	0	
forward_c19_fishcard_338	1	0	0	
forward_c19_fishcard_339	1	0	0	
forward_c19_fishcard_340	1	0	0	
forward_c19_fishcard_341	1	0	0	
forward_c19_fishcard_342	1	0	0	
forward_c19_fishcard_343	1	0	0	
forward_c19_fishcard_344	1	0	0	
forward_c19_fishcard_345	1	0	0	
forward_c19_fishcard_346	1	0	0	
forward_c19_fishcard_347	1	0	0	
forward_c19_fishcard_348	1	0	0	
forward_c19_fishcard_349	1	0	0	
forward_c19_fishcard_350	1	0	0	
forward_c19_fishcard_351	1	0	0	
forward_c19_fishcard_352	1	0	0	
forward_c19_fishcard_353	1	0	0	
forward_c19_fishcard_354	1	0	0	
forward_c19_fishcard_355	1	0	0	
forward_c19_fishcard_356	1	0	0	
forward_c19_fishcard_357	1	0	0	
forward_c19_fishcard_358	1	0	0	
forward_c19_fishcard_359	1	0	0	
forward_c19_fishcard_360	1	0	0	
forward_c19_fishcard_361	1	0	0	
forward_c19_fishcard_362	1	0	0	
forward_c19_fishcard_363	1	0	0	
forward_c19_fishcard_364	1	0	0	
forward_c19_fishcard_365	1	0	0	
forward_c19_fishcard_366	1	0	0	
forward_c19_fishcard_367	1	0	0	
forward_c19_fishcard_368	1	0	0	
forward_c19_fishcard_369	1	0	0	
forward_c19_fishcard_370	1	0	0	
forward_c19_fishcard_371	1	0	0	
forward_c19_fishcard_372	1	0	0	
forward_c19_fishcard_373	1	0	0	
forward_c19_fishcard_374	1	0	0	
forward_c19_fishcard_375	1	0	0	
forward_c19_fishcard_376	1	0	0	
forward_c19_fishcard_377	1	0	0	
forward_c19_fishcard_378	1	0	0	
forward_c19_fishcard_379	1	0	0	
forward_c19_fishcard_380	1	0	0	
forward_c19_fishcard_381	1	0	0	
forward_c19_fishcard_382	1	0	0	
forward_c19_fishcard_383	1	0	0	
forward_c19_fishcard_384	1	0	0	
forward_c19_fishcard_385	1	0	0	
forward_c19_fishcard_386	1	0	0	
forward_c19_fishcard_387	1	0	0	
forward_c19_fishcard_388	1	0	0	
forward_c19_fishcard_389	1	0	0	
forward_c19_fishcard_390	1	0	0	
forward_c19_fishcard_391	1	0	0	
forward_c19_fishcard_392	1	0	0	
forward_c19_fishcard_393	1	0	0	
forward_c19_fishcard_394	1	0	0	
forward_c19_fishcard_395	1	0	0	
forward_c19_fishcard_396	1	0	0	
forward_c19_fishcard_397	1	0	0	
forward_c19_fishcard_398	1	0	0	
forward_c19_fishcard_399	1	0	0	
forward_c19_fishcard_400	1	0	0	
forward_c19_fishcard_401	1	0	0	
forward_c19_fishcard_402	1	0	0	
forward_c19_fishcard_403	1	0	0	
forward_c19_fishcard_404	1	0	0	
forward_c19_fishcard_405	1	0	0	
forward_c19_fishcard_406	1	0	0	
forward_c19_fishcard_407	1	0	0	
forward_c19_fishcard_408	1	0	0	
forward_c19_fishcard_409	1	0	0	
forward_c19_fishcard_410	1	0	0	
forward_c19_fishcard_411	1	0	0	
forward_c19_fishcard_412	1	0	0	
forward_c19_fishcard_413	1	0	0	
forward_c19_fishcard_414	1	0	0	
forward_c19_fishcard_415	1	0	0	
forward_c19_fishcard_416	1	0	0	
forward_c19_fishcard_417	1	0	0	
forward_c19_fishcard_418	1	0	0	
forward_c19_fishcard_419	1	0	0	
forward_c19_fishcard_420	1	0	0	
forward_c19_fishcard_421	1	0	0	
forward_c19_fishcard_422	1	0	0	
forward_c19_fishcard_423	1	0	0	
forward_c19_fishcard_424	1	0	0	
forward_c19_fishcard_425	1	0	0	
forward_c19_fishcard_426	1	0	0	
forward_c19_fishcard_427	1	0	0	
forward_c19_fishcard_428	1	0	0	
forward_c19_fishcard_429	1	0	0	
forward_c19_fishcard_430	1	0	0	
forward_c19_fishcard_431	1	0	0	
forward_c19_fishcard_432	1	0	0	
forward_c19_fishcard_433	1	0	0	
forward_c19_fishcard_434	1	0	0	
forward_c19_fishcard_435	1	0	0	
forward_c19_fishcard_436	1	0	0	
forward_c19_fishcard_437	1	0	0	
forward_c19_fishcard_438	1	0	0	
forward_c19_fishcard_439	1	0	0	
forward_c19_fishcard_440	1	0	0	
forward_c19_fishcard_441	1	0	0	
forward_c19_fishcard_442	1	0	0	
forward_c19_fishcard_443	1	0	0	
forward_c19_fishcard_444	1	0	0	
forward_c19_fishcard_445	1	0	0	
forward_c19_fishcard_446	1	0	0	
forward_c19_fishcard_447	1	0	0	
forward_c19_fishcard_448	1	0	0	
forward_c19_fishcard_449	1	0	0	
forward_c19_fishcard_450	1	0	0	
forward_c19_fishcard_451	1	0	0	
forward_c19_fishcard_452	1	0	0	
forward_c19_fishcard_453	1	0	0	
forward_c19_fishcard_454	1	0	0	
forward_c19_fishcard_455	1	0	0	
forward_c19_fishcard_456	1	0	0	
forward_c19_fishcard_457	1	0	0	
forward_c19_fishcard_458	1	0	0	
forward_c19_fishcard_459	1	0	0	
forward_c19_fishcard_460	1	0	0	
forward_c19_fishcard_461	1	0	0	
