fishcard_seq_number	c19_fishcard_LSC.B.1.S22.L001	c19_fishcard_PP.B.1.S4.L001	c19_fishcard_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_c19_fishcard_13	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:99.5;species:99.5;	FISHCARD_miu_291.1;KC136408.1;AP011062.1;LC037028.1;LC037026.1;KC136545.1;KC136496.1;KC136406.1;KC136407.1;KC136493.1;KC136520.1;KC136368.1;KC136470.1;LC458161.1;KC136394.1;KC136504.1;KC136444.1;KC136380.1;KC136503.1;KC136441.1;KC136480.1;KC136527.1;LC037027.1;KC136525.1;KC136539.1;KC136540.1;KC136544.1;KC136404.1;KC136568.1;KC136478.1;KC136362.1;KC136398.1;KC136402.1;KC136456.1;KC136418.1;KC136519.1;KC136543.1;KC136550.1;KC136531.1;KC136499.1;LC037025.1;KC136428.1;KC136505.1;KC136570.1;KC136529.1;KC136464.1;KC136391.1;KC136393.1;KC136507.1;KC136533.1;KC136366.1;KC136565.1;KC136548.1;KC136491.1;KC136390.1;KC136376.1;KC136578.1;KC136523.1;KC136511.1;KC136497.1;KC136399.1;KC136564.1;KC136387.1;KC136492.1;KC136535.1;KC136445.1;KC136446.1;LC037024.1;KC136560.1;KC136373.1;KC136421.1;KC136473.1;FISHCARD_miu_167.1;KC136479.1;KC136572.1;KC136437.1;KC136468.1;KC136414.1;KC136416.1;KC136369.1;KC136433.1;KC136372.1;KC136559.1;KC136436.1;AP011061.1;KC136514.1;KC136557.1;KC136374.1;AY279561.1;KC136423.1;KC136484.1;KC136490.1;KC136574.1;KC136384.1;KC136379.1;KC136532.1;KC136558.1;KC136409.1;EF616895.1;KC136556.1
forward_c19_fishcard_14	5	6	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Medialuna;species:Medialuna californiensis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	KC136408.1;FISHCARD_miu_291.1;AP011062.1;LC037028.1;KC136496.1;LC037026.1;KC136394.1;KC136503.1;KC136508.1;KC136470.1;KC136365.1;KC136378.1;KC136386.1;KC136463.1;KC136525.1;KC136427.1;LC458161.1;KC136413.1;KC136450.1;KC136480.1;KC136488.1;KC136441.1;KC136368.1;KC136542.1;KC136407.1;KC136380.1;KC136406.1;LC037027.1;KC136444.1;KC136545.1;KC136398.1;KC136418.1;KC136550.1;KC136402.1;KC136362.1;KC136573.1;KC136540.1;KC136570.1;KC136382.1;LC037025.1;KC136505.1;KC136499.1;KC136377.1;KC136451.1;KC136544.1;KC136428.1;KC136478.1;KC136404.1;KC136568.1;KC136529.1;KC136464.1;KC136387.1;KC136363.1;KC136372.1;KC136414.1;KC136564.1;KC136383.1;KC136411.1;KC136405.1;KC136381.1;KC136417.1;KC136366.1;KC136400.1;KC136461.1;KC136369.1;KC136438.1;AP011061.1;KC136557.1;KC136572.1;KC136541.1;KC136436.1;KC136487.1;KC136511.1;KC136393.1;KC136415.1;KC136473.1;KC136442.1;KC136535.1;KC136549.1;KC136524.1;KC136373.1;KC136448.1;KC136399.1;KC136468.1;KC136533.1;KC136376.1;KC136507.1;KC136491.1;KC136497.1;KC136560.1;KC136390.1;KC136446.1;EF616895.1;KC136403.1;KC136522.1;KC136379.1;KC136574.1;KC136460.1;KC136409.1;KC136423.1
forward_c19_fishcard_15	2	11	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.3;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;KC136482.1
forward_c19_fishcard_16	2	1	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Embiotocidae;genus:Rhacochilus;species:Rhacochilus vacca;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:70.7855477855;species:69.041958042;	FISHCARD_miu_406.1;FISHCARD_miu_043.1;LC091972.1;LC091971.1;AY279572.1;FISHCARD_miu_685.1;FISHCARD_miu_163.1;FISHCARD_miu_264.1;LC091975.1;FISHCARD_miu_266.1;LC091976.1;FISHCARD_miu_044.1;FISHCARD_miu_164.1;KU530212.1;AF285918.1;AY279573.1;FISHCARD_miu_189.1;FISHCARD_miu_701.1;FISHCARD_miu_141.1;AP009128.1;LC091978.1;LC091977.1;FISHCARD_miu_142.1;FJ616394.1;FISHCARD_miu_265.1;LC104608.1;FISHCARD_miu_263.1;LC091973.1;LC091974.1;FISHCARD_miu_046.1;AP009129.1;FISHCARD_miu_160.1;AB969917.1;JN125224.1;JN125222.1;AY279571.1;FISHCARD_miu_162.1;FISHCARD_miu_161.1;JN125227.1;JN125223.1;JN125226.1;AB969916.1;JN125225.1
forward_c19_fishcard_17	0	11	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:82.25;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136395.1;KC136536.1;KC136577.1;AB214535.1;AB236128.1;LC021271.1;AB236130.1;KC136370.1;AB236129.1;LC492400.1;LC037030.1;LC037029.1;AB233475.1;LC278022.1;AB233476.1;LC278154.1;KC136555.1;LC385204.1;AB208649.1;AB233478.1;AB233477.1;LC278153.1;LC458160.1;AB233489.1;AP011060.1;AB233485.1;AB233484.1;AB233491.1;AB233482.1;AB208648.1;LC421696.1;AB233487.1;AB233481.1;AB972232.1;AB233488.1;AB233479.1;AB233483.1;LC492401.1;KC136477.1;AB233486.1;AB233480.1;AB233490.1
forward_c19_fishcard_18	3	1	7	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_293.1;AY279644.1;EU601226.1;LC499589.1;AB974611.1;KY815247.1;AY279588.1;AJ810129.1
forward_c19_fishcard_19	0	6	5	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:79.5;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136395.1;KC136536.1;KC136577.1;AB236130.1;AB236128.1;LC021271.1;AB236129.1;KC136370.1;AB214535.1;AB233478.1;AB233477.1;AB208649.1;AB233475.1;LC278022.1;LC278154.1;KC136555.1;LC278153.1;AB233476.1;LC385204.1;LC037029.1;LC492400.1;LC037030.1;AB233481.1;AB233491.1;AB972232.1;AB208648.1;AB233488.1;LC458160.1;AB233479.1;AP011060.1;AB233487.1;LC492401.1;LC421696.1;KC136477.1;AB233489.1;AB233484.1;AB233483.1;AB233482.1;AB233485.1;AB233490.1;AB233486.1;AB233480.1
forward_c19_fishcard_20	2	5	3	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.8;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;KC136482.1;FISHCARD_miu_348.1
forward_c19_fishcard_21	2	4	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Semicossyphus;species:Semicossyphus pulcher;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	AY279644.1;EU601226.1;FISHCARD_miu_293.1;AB974611.1;LC499589.1;KY815247.1;AJ810129.1;AY279588.1;LC340201.1
forward_c19_fishcard_22	0	0	10	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Gobiesocidae;genus:Gobiesox;species:Gobiesox rhessodon;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_582.1;FISHCARD_miu_037.1;FISHCARD_miu_005.1;LC092040.1;LC092039.1;LC092038.1
forward_c19_fishcard_23	6	2	1	not_found		
forward_c19_fishcard_24	8	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Chaenopsidae;genus:Chaenopsis;species:Chaenopsis alepidota;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_241.1
forward_c19_fishcard_25	5	2	1	not_found		
forward_c19_fishcard_26	5	1	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1;LC037056.1
forward_c19_fishcard_27	7	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:58.1666666667;species:58.1666666667;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1;KY815304.1;LC104651.1;AY279611.1;KY421797.1;LC146271.1;AJ810137.1;AJ810136.1;AB972165.1;AB974580.1;AY279589.1;LC499368.1;KY815292.1;AY279628.1;AY279590.1;LC021281.1;AY279635.1
forward_c19_fishcard_28	5	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1;LC037056.1
forward_c19_fishcard_29	5	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Malacanthidae;genus:Caulolatilus;species:Caulolatilus princeps;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_301.1;FISHCARD_miu_083.1
forward_c19_fishcard_30	4	2	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;FISHCARD_miu_020.1;LC091575.1;NC_041097.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;AP017957.1;LC385201.1;LC468860.1;LC499587.1;LC468861.1;AB040676.1;KF765500.2;LC020920.1;AF417342.1;FISHCARD_miu_268.1;AP009137.1;LC340033.1;AP011557.1
forward_c19_fishcard_31	2	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:55.5;species:55.5;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1;LC104651.1;AJ810137.1;KY421797.1;AY279611.1;LC146271.1;AJ810136.1;KY815304.1;LC499368.1;AY279589.1;AB974580.1;AY279628.1;AB972165.1;KY815292.1;LC021281.1;AY279590.1;AY279635.1
forward_c19_fishcard_32	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:83.6666666667;	FISHCARD_miu_289.1;KC136553.1;KC136546.1;KC136536.1;KC136577.1;KC136395.1;AB236130.1;AB236129.1;AB236128.1;KC136370.1;LC021271.1;AB214535.1;AB233476.1;AB233478.1;AB233475.1;LC278154.1;LC492400.1;LC037029.1;LC385204.1;AB233477.1;AB208649.1;LC037030.1;KC136555.1;LC278153.1;LC278022.1;AB233479.1;AB233489.1;LC458160.1;AB233487.1;AB233484.1;AP011060.1;LC421696.1;AB233491.1;AB233488.1;AB233485.1;KC136477.1;LC492401.1;AB233482.1;AB972232.1;AB233481.1;AB208648.1;AB233483.1;AB233490.1;AB233480.1;AB233486.1
forward_c19_fishcard_33	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Atheriniformes;family:Atherinopsidae;genus:Atherinops;species:Atherinops affinis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:84.5277777778;species:84.5277777778;	FISHCARD_miu_202.1;NC_044649.1;MN181432.1;FISHCARD_miu_035.1;GQ352654.1;GQ352655.1;GQ352653.1;KF791036.1;GQ352652.1;GQ352656.1;AB370894.1;GQ352659.1;GQ352657.1;GQ352658.1
forward_c19_fishcard_34	0	0	6	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Carangiformes;family:Carangidae;genus:Seriola;species:Seriola lalandi;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:97.6166666667;species:91.95;	FISHCARD_miu_240.1;AB517557.1;LC499588.1;AB969928.1;LC421689.1;AB517558.1;AB938138.1;KP733847.1;KT591876.1;AB517559.2;FISHCARD_miu_573.1;AB972178.1;KP347126.1;LC036999.1;AB517556.1;LC492389.1;MK158067.1;AB972179.1;FISHCARD_miu_579.1;LC492390.1;LC104479.1;LC178329.1;LC178328.1;LC178312.1;LC178330.1;LC178323.1;LC178306.1;LC178324.1;LC178316.1;LC178307.1;LC178322.1;LC178321.1;LC178315.1;LC178317.1;LC178325.1;LC178320.1;LC178319.1;LC178326.1;LC178318.1;LC178311.1;LC178313.1;LC178314.1;LC178308.1;LC178309.1;LC178310.1;LC178327.1;LC178254.1;LC178279.1;LC178281.1;LC178287.1;LC178272.1;LC178227.1;LC178258.1;LC178257.1;LC178273.1;LC178224.1;LC178241.1;LC178284.1;LC178266.1;LC178226.1;LC178262.1;LC178303.1;LC178271.1;LC178285.1;LC178249.1;LC178245.1;LC178230.1;LC178259.1;LC178299.1;LC178237.1;LC178269.1;LC178304.1;LC178238.1;LC178289.1;LC178291.1;LC178244.1;LC178239.1;LC178300.1;LC178277.1;LC178252.1;LC178301.1;LC178296.1;LC178228.1;LC178276.1;LC178286.1;LC178261.1;LC178293.1;LC178298.1;LC178294.1;LC178260.1;LC178295.1;LC178264.1;LC178282.1;LC178288.1;LC178246.1;LC178247.1;LC178234.1;LC178251.1;FJ792626.1;FJ616313.1
forward_c19_fishcard_35	4	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1;LC037056.1
forward_c19_fishcard_36	3	0	2	not_found		
